"seq_number","Project","ndetections","max_Occupancy_prob","sum.taxonomy"
"merged_fishcard_12S_all_268","Taylor",27,0.999811625145236,NA
"merged_fishcard_12S_all_269","Taylor",6,0.802396160540849,NA
"merged_fishcard_12S_all_27","Taylor",21,0.997652448519003,NA
"merged_fishcard_12S_all_275","Taylor",8,0.869528477368332,NA
"merged_fishcard_12S_all_277","Taylor",20,0.996701460025119,NA
"merged_fishcard_12S_all_28","Taylor",32,0.999994589018844,NA
"merged_fishcard_12S_all_283","Taylor",7,0.830812408311128,NA
"merged_fishcard_12S_all_287","Taylor",14,0.968434899515157,NA
"merged_fishcard_12S_all_29","Taylor",15,0.979406053250658,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus"
"merged_fishcard_12S_all_290","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_296","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Cololabis;Cololabis saira"
"merged_fishcard_12S_all_299","Taylor",9,0.893546946915494,NA
"merged_fishcard_12S_all_3","Taylor",34,0.99999999966004,"Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans"
"merged_fishcard_12S_all_30","Taylor",34,0.99999999966004,NA
"merged_fishcard_12S_all_304","Taylor",8,0.869528477368332,NA
"merged_fishcard_12S_all_306","Taylor",8,0.869528477368332,NA
"merged_fishcard_12S_all_31","Taylor",25,0.999688068014849,NA
"merged_fishcard_12S_all_310","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_311","Taylor",6,0.802396160540849,NA
"merged_fishcard_12S_all_315","Taylor",6,0.802396160540849,NA
"merged_fishcard_12S_all_32","Taylor",36,0.999999999998287,NA
"merged_fishcard_12S_all_328","Taylor",18,0.992570076514124,NA
"merged_fishcard_12S_all_33","Taylor",34,0.99999999966004,NA
"merged_fishcard_12S_all_330","Taylor",10,0.909231650674222,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_fishcard_12S_all_337","Taylor",7,0.830812408311128,NA
"merged_fishcard_12S_all_339","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_34","Taylor",8,0.869528477368332,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Mycteroperca;"
"merged_fishcard_12S_all_341","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_343","Taylor",18,0.992570076514124,NA
"merged_fishcard_12S_all_345","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_35","Taylor",12,0.95201303927824,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus integripinnis"
"merged_fishcard_12S_all_352","Taylor",15,0.979406053250658,NA
"merged_fishcard_12S_all_356","Taylor",12,0.95201303927824,NA
"merged_fishcard_12S_all_360","Taylor",11,0.936658740177059,NA
"merged_fishcard_12S_all_363","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_365","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_368","Taylor",7,0.830812408311128,NA
"merged_fishcard_12S_all_37","Taylor",11,0.936658740177059,"Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"merged_fishcard_12S_all_373","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_375","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_377","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_38","Taylor",8,0.869528477368332,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus integripinnis"
"merged_fishcard_12S_all_380","Taylor",8,0.869528477368332,NA
"merged_fishcard_12S_all_39","Taylor",16,0.983823077932364,"Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Anisotremus;Anisotremus davidsonii"
"merged_fishcard_12S_all_390","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_397","Taylor",16,0.983823077932364,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Urolophidae;Urolophus;Urolophus halleri"
"merged_fishcard_12S_all_4","Taylor",34,0.99999999966004,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher"
"merged_fishcard_12S_all_40","Taylor",11,0.936658740177059,"Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Hermosilla;Hermosilla azurea"
"merged_fishcard_12S_all_405","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_408","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Labrisomus;Labrisomus xanti"
"merged_fishcard_12S_all_41","Taylor",35,0.999999999658683,NA
"merged_fishcard_12S_all_412","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher"
"merged_fishcard_12S_all_415","Taylor",10,0.909231650674222,NA
"merged_fishcard_12S_all_42","Taylor",33,0.999999883835049,NA
"merged_fishcard_12S_all_425","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_426","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_429","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_43","Taylor",7,0.830812408311128,"Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola lalandi"
"merged_fishcard_12S_all_436","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_44","Taylor",36,0.999999999998287,NA
"merged_fishcard_12S_all_440","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_442","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_444","Taylor",8,0.869528477368332,NA
"merged_fishcard_12S_all_445","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_447","Taylor",15,0.979406053250658,NA
"merged_fishcard_12S_all_45","Taylor",8,0.869528477368332,NA
"merged_fishcard_12S_all_452","Taylor",15,0.979406053250658,"Eukaryota;Chordata;Chondrichthyes;Heterodontiformes;Heterodontidae;Heterodontus;Heterodontus francisci"
"merged_fishcard_12S_all_46","Taylor",9,0.893546946915494,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_464","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_466","Taylor",7,0.830812408311128,NA
"merged_fishcard_12S_all_47","Taylor",33,0.999999883835049,NA
"merged_fishcard_12S_all_472","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_48","Taylor",20,0.996701460025119,NA
"merged_fishcard_12S_all_480","Taylor",6,0.802396160540849,NA
"merged_fishcard_12S_all_481","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_489","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;"
"merged_fishcard_12S_all_49","Taylor",36,0.999999999998287,NA
"merged_fishcard_12S_all_492","Taylor",6,0.802396160540849,NA
"merged_fishcard_12S_all_493","Taylor",7,0.830812408311128,NA
"merged_fishcard_12S_all_495","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_496","Taylor",7,0.830812408311128,NA
"merged_fishcard_12S_all_5","Taylor",32,0.999994589018844,"Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"merged_fishcard_12S_all_50","Taylor",9,0.893546946915494,"Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Typhlogobius;Typhlogobius californiensis"
"merged_fishcard_12S_all_501","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_503","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_51","Taylor",35,0.999999999658683,NA
"merged_fishcard_12S_all_514","Taylor",15,0.979406053250658,NA
"merged_fishcard_12S_all_52","Taylor",35,0.999999999658683,NA
"merged_fishcard_12S_all_521","Taylor",8,0.869528477368332,NA
"merged_fishcard_12S_all_53","Taylor",36,0.999999999998287,NA
"merged_fishcard_12S_all_531","Taylor",6,0.802396160540849,NA
"merged_fishcard_12S_all_536","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_541","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_545","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_547","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_548","Taylor",3,0.681772184882116,"Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Rhinogobiops;Rhinogobiops nicholsii"
"merged_fishcard_12S_all_55","Taylor",34,0.99999999966004,NA
"merged_fishcard_12S_all_56","Taylor",10,0.909231650674222,"Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaena;Scorpaena guttata"
"merged_fishcard_12S_all_563","Taylor",10,0.909231650674222,NA
"merged_fishcard_12S_all_564","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_57","Taylor",8,0.869528477368332,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox rhessodon"
"merged_fishcard_12S_all_574","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_575","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_58","Taylor",36,0.999999999998287,NA
"merged_fishcard_12S_all_593","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_599","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_6","Taylor",12,0.95201303927824,"Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis"
"merged_fishcard_12S_all_60","Taylor",11,0.936658740177059,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Mycteroperca;"
"merged_fishcard_12S_all_601","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_62","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_625","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_626","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_63","Taylor",18,0.992570076514124,NA
"merged_fishcard_12S_all_638","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_64","Taylor",5,0.763631672827674,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Alloclinus;Alloclinus holderi"
"merged_fishcard_12S_all_646","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_65","Taylor",22,0.998951283939722,NA
"merged_fishcard_12S_all_651","Taylor",8,0.869528477368332,NA
"merged_fishcard_12S_all_654","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_657","Taylor",9,0.893546946915494,NA
"merged_fishcard_12S_all_658","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_659","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_66","Taylor",17,0.989910153229993,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Labrisomus;Labrisomus xanti"
"merged_fishcard_12S_all_667","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_668","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_669","Taylor",4,0.715713817592095,"Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"merged_fishcard_12S_all_67","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys stigmaeus"
"merged_fishcard_12S_all_670","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_671","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_678","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_68","Taylor",11,0.936658740177059,"Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus"
"merged_fishcard_12S_all_690","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_694","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_698","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_7","Taylor",36,0.999999999998287,NA
"merged_fishcard_12S_all_70","Taylor",5,0.763631672827674,"Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus"
"merged_fishcard_12S_all_709","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_71","Taylor",35,0.999999999658683,NA
"merged_fishcard_12S_all_711","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_72","Taylor",21,0.997652448519003,NA
"merged_fishcard_12S_all_721","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_724","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_73","Taylor",4,0.715713817592095,"Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon;Cheilopogon pinnatibarbatus"
"merged_fishcard_12S_all_734","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_74","Taylor",3,0.681772184882116,"Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Caulolatilus;Caulolatilus princeps"
"merged_fishcard_12S_all_741","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_746","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_75","Taylor",18,0.992570076514124,NA
"merged_fishcard_12S_all_751","Taylor",10,0.909231650674222,NA
"merged_fishcard_12S_all_76","Taylor",30,0.999999343897505,NA
"merged_fishcard_12S_all_760","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_762","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_763","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_765","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_771","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_774","Taylor",3,0.681772184882116,"Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Zalophus;Zalophus californianus"
"merged_fishcard_12S_all_78","Taylor",21,0.997652448519003,NA
"merged_fishcard_12S_all_79","Taylor",5,0.763631672827674,"Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus"
"merged_fishcard_12S_all_790","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_8","Taylor",4,0.715713817592095,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica"
"merged_fishcard_12S_all_80","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus"
"merged_fishcard_12S_all_801","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_81","Taylor",30,0.999999343897505,NA
"merged_fishcard_12S_all_812","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_82","Taylor",24,0.999515743553185,NA
"merged_fishcard_12S_all_828","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_83","Taylor",6,0.802396160540849,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox rhessodon"
"merged_fishcard_12S_all_84","Taylor",28,0.999959311351987,NA
"merged_fishcard_12S_all_842","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_843","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_85","Taylor",9,0.893546946915494,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_856","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_86","Taylor",31,0.999998786318631,NA
"merged_fishcard_12S_all_860","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lythrypnus;Lythrypnus zebra"
"merged_fishcard_12S_all_87","Taylor",20,0.996701460025119,NA
"merged_fishcard_12S_all_875","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_877","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_878","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_88","Taylor",3,0.681772184882116,"Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Apogon;Apogon guadalupensis"
"merged_fishcard_12S_all_882","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_888","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_889","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_893","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_90","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Mycteroperca;"
"merged_fishcard_12S_all_91","Taylor",36,0.999999999998287,NA
"merged_fishcard_12S_all_914","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_94","Taylor",26,0.99981339208604,NA
"merged_fishcard_12S_all_943","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_95","Taylor",3,0.681772184882116,"Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"merged_fishcard_12S_all_957","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_96","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;"
